year,lake,ice_duration,air_temp
1994,Mendota,74,0.10883977900552443
1994,Monona,85,0.10883977900552443
1995,Mendota,119,-3.2983516483516473
1995,Monona,107,-3.2983516483516473
1996,Mendota,102,-2.1983425414364626
1996,Monona,96,-2.1983425414364626
1997,Mendota,47,0.7419889502762437
1997,Monona,47,0.7419889502762437
1998,Mendota,81,0.7922651933701638
1998,Monona,70,0.7922651933701638
1999,Mendota,53,1.1093406593406592
1999,Monona,52,1.1093406593406592
2000,Mendota,115,-2.038674033149169
2000,Monona,108,-2.038674033149169
2001,Mendota,21,1.8237569060773482
2001,Monona,56,1.8237569060773482
2002,Mendota,89,-1.416022099447513
2002,Monona,83,-1.416022099447513
2003,Mendota,80,-0.14835164835164802
2003,Monona,75,-0.14835164835164802
2004,Mendota,101,0.6574585635359114
2004,Monona,97,0.6574585635359114
2005,Mendota,95,0.6651933701657454
2005,Monona,94,0.6651933701657454
2006,Mendota,66,0.16022099447513707
2006,Monona,67,0.16022099447513707
2007,Mendota,106,-2.1076923076923078
2007,Monona,122,-2.1076923076923078
2008,Mendota,97,-2.06243093922652
2008,Monona,98,-2.06243093922652
2009,Mendota,87,0.3701657458563509
2009,Monona,88,0.3701657458563509
2010,Mendota,110,-1.5563535911602198
2010,Monona,116,-1.5563535911602198
2011,Mendota,57,2.9730769230769205
2011,Monona,69,2.9730769230769205
2012,Mendota,87,-0.9756906077348069
2012,Monona,101,-0.9756906077348069
2013,Mendota,117,-3.9580110497237593
2013,Monona,121,-3.9580110497237593
2014,Mendota,91,-1.734806629834254
2014,Monona,105,-1.734806629834254
2015,Mendota,62,1.6148351648351646
2015,Monona,62,1.6148351648351646
2016,Mendota,65,1.2850828729281767
2016,Monona,81,1.2850828729281767
2017,Mendota,94,-2.0524861878453033
2017,Monona,93,-2.0524861878453033
2018,Mendota,86,-1.7558011049723745
2018,Monona,97,-1.7558011049723745
2019,Mendota,70,-0.8196721311475409
2019,Monona,80,-0.8196721311475409
